Bernex	Kanton Genf
Berolle	Kanton Waadt
Beromünster	Kanton Luzern
Besenbüren	Kanton Aargau
Bettenhausen	Kanton Bern
Bettens	Kanton Waadt
Bettingen	Kanton Basel-Stadt
Bettlach	Kanton Solothurn
Bettmeralp	Kanton Wallis
Bettwiesen	Kanton Thurgau
Bettwil	Kanton Aargau
Beurnevésin	Kanton Jura
Bever	Kanton Graubünden
Bex	Kanton Waadt
Biasca	Kanton Tessin
Biberist	Kanton Solothurn
Biberstein	Kanton Aargau
Bichelsee-Balterswil	Kanton Thurgau
Biel	Kanton Bern
Bienne	Kanton Bern
Biel-Benken	Kanton Basel-Landschaft
Bière	Kanton Waadt
Biezwil	Kanton Solothurn
Biglen	Kanton Bern
Billens-Hennens	Kanton Freiburg
Binn	Kanton Wallis
Binningen	Kanton Basel-Landschaft
Bioggio	Kanton Tessin
Bioley-Magnoux	Kanton Waadt
Bioley-Orjulaz	Kanton Waadt
Birmensdorf	Kanton Zürich
Birmenstorf	Kanton Aargau
Birr	Kanton Aargau
Birrhard	Kanton Aargau
Birrwil	Kanton Aargau
Birsfelden	Kanton Basel-Landschaft
Birwinken	Kanton Thurgau
Bischofszell	Kanton Thurgau
Bissone	Kanton Tessin
Bister	Kanton Wallis
Bitsch	Kanton Wallis
Blatten	Kanton Wallis
Blauen	Kanton Basel-Landschaft
Bleienbach	Kanton Bern
Blenio	Kanton Tessin
Blonay	Kanton Waadt
Blumenstein	Kanton Bern
Böbikon	Kanton Aargau
Böckten	Kanton Basel-Landschaft
Bodio	Kanton Tessin
Boécourt	Kanton Jura
Bofflens	Kanton Waadt
Bogis-Bossey	Kanton Waadt
Bolken	Kanton Solothurn
Bolligen	Kanton Bern
Boltigen	Kanton Bern
Bonaduz	Kanton Graubünden
Boncourt	Kanton Jura
Bonfol	Kanton Jura
Bönigen	Kanton Bern
Boningen	Kanton Solothurn
Boniswil	Kanton Aargau
Bonstetten	Kanton Zürich
Bonvillars	Kanton Waadt
Boppelsen	Kanton Zürich
Borex	Kanton Waadt
Bosco	Kanton Tessin
Gurin	Kanton Tessin
Bösingen	Kanton Freiburg
Bossonnens	Kanton Freiburg
Boswil	Kanton Aargau
Bottens	Kanton Waadt
Bottenwil	Kanton Aargau
Botterens	Kanton Freiburg
Bottighofen	Kanton Thurgau
Bottmingen	Kanton Basel-Landschaft
Böttstein	Kanton Aargau
Boudry	Kanton Neuenburg
Bougy-Villars	Kanton Waadt
Boulens	Kanton Waadt
Bourg-en-Lavaux	Kanton Waadt
Bourg-Saint-Pierre	Kanton Wallis
Bournens	Kanton Waadt
Bourrignon	Kanton Jura
Boussens	Kanton Waadt
Bovernier	Kanton Wallis
Bowil	Kanton Bern
Bözberg	Kanton Aargau
Bözen	Kanton Aargau
Braunau	Kanton Thurgau
Bregaglia	Kanton Graubünden
Breggia	Kanton Tessin
Breil	Kanton Graubünden
Brigels	Kanton Graubünden
Breitenbach	Kanton Solothurn
Bremblens	Kanton Waadt
Bremgarten	Kanton Aargau
Bremgarten bei Bern	Kanton Bern
Brenzikofen	Kanton Bern
Bretigny-sur-Morrens	Kanton Waadt
Bretonnières	Kanton Waadt
Bretzwil	Kanton Basel-Landschaft
Brienz	Kanton Bern
Brienzwiler	Kanton Bern
Brig-Glis	Kanton Wallis
Brione	Kanton Tessin
Verzasca	Kanton Tessin
Brione sopra Minusio	Kanton Tessin
Brislach	Kanton Basel-Landschaft
Brissago	Kanton Tessin
Brittnau	Kanton Aargau
Broc	Kanton Freiburg
Brot-Plamboz	Kanton Neuenburg
Brugg	Kanton Aargau
Brügg	Kanton Bern
Brunegg	Kanton Aargau
Brünisried	Kanton Freiburg
Brusino Arsizio	Kanton Tessin
Brusio	Kanton Graubünden
Brüttelen	Kanton Bern
Brütten	Kanton Zürich
Bubendorf	Kanton Basel-Landschaft
Bubikon	Kanton Zürich
Buch	Kanton Schaffhausen
Buch am Irchel	Kanton Zürich
Buchberg	Kanton Schaffhausen
Buchegg	Kanton Solothurn
Buchholterberg	Kanton Bern
Buchillon	Kanton Waadt
Buchrain	Kanton Luzern
Buchs	Kanton Aargau
Buchs	Kanton St. Gallen
Buchs	Kanton Zürich
Buckten	Kanton Basel-Landschaft
Büetigen	Kanton Bern
Bühl	Kanton Bern
Bühler	Kanton Appenzell Ausserrhoden
Bülach	Kanton Zürich
Bulle	Kanton Freiburg
Bullet	Kanton Waadt
Bünzen	Kanton Aargau
Buochs	Kanton Nidwalden
Bürchen	Kanton Wallis
Bure	Kanton Jura
Büren	Kanton Solothurn
Büren an der Aare	Kanton Bern
Burg	Kanton Aargau
Burg im Leimental	Kanton Basel-Landschaft
Burgdorf	Kanton Bern
Burgistein	Kanton Bern
Bürglen	Kanton Thurgau
Bürglen	Kanton Uri
Büron	Kanton Luzern
Bursinel	Kanton Waadt
Bursins	Kanton Waadt
Burtigny	Kanton Waadt
Buseno	Kanton Graubünden
Büsserach	Kanton Solothurn
Bussigny	Kanton Waadt
Bussnang	Kanton Thurgau
Busswil bei Melchnau	Kanton Bern
Bussy-Chardonney	Kanton Waadt
Bussy-sur-Moudon	Kanton Waadt
Bütschwil-Ganterschwil	Kanton St. Gallen
Büttenhardt	Kanton Schaffhausen
Büttikon	Kanton Aargau
Buttisholz	Kanton Luzern
Buttwil	Kanton Aargau
Buus	Kanton Basel-Landschaft
Cademario	Kanton Tessin
Cadempino	Kanton Tessin
Cadenazzo	Kanton Tessin
Calanca	Kanton Graubünden
Cama	Kanton Graubünden
Vallemaggia	Kanton Tessin
Campo	Kanton Tessin
Canobbio	Kanton Tessin
Capriasca	Kanton Tessin
Carouge	Kanton Genf
Cartigny	Kanton Genf
Caslano	Kanton Tessin
Castaneda	Kanton Graubünden
Castel San Pietro	Kanton Tessin
Casti-Wergenstein	Kanton Graubünden
Cazis	Kanton Graubünden
Celerina	Kanton Graubünden
Schlarigna	Kanton Graubünden
Céligny	Kanton Genf
Centovalli	Kanton Tessin
Cerentino	Kanton Tessin
Cevio	Kanton Tessin
Chalais	Kanton Wallis
Cham	Kanton Zug
Chamblon	Kanton Waadt
Chamoson	Kanton Wallis
Champagne	Kanton Waadt
Champéry	Kanton Wallis
Champoz	Kanton Bern
Champtauroz	Kanton Waadt
Champvent	Kanton Waadt
Chancy	Kanton Genf
Glâne	Kanton Freiburg
Chapelle	Kanton Freiburg
Chardonne	Kanton Waadt
Charrat	Kanton Wallis
Château-d'Oex	Kanton Waadt
Châtel-Saint-Denis	Kanton Freiburg
Châtel-sur-Montsalvens	Kanton Freiburg
Châtillon	Kanton Freiburg
Châtillon	Kanton Jura
Châtonnaye	Kanton Freiburg
Chavannes-de-Bogis	Kanton Waadt
Chavannes-des-Bois	Kanton Waadt
Chavannes-le-Chêne	Kanton Waadt
Chavannes-le-Veyron	Kanton Waadt
Chavannes-près-Renens	Kanton Waadt
Chavannes-sur-Moudon	Kanton Waadt
Chavornay	Kanton Waadt
Cheiry	Kanton Freiburg
Chêne-Bougeries	Kanton Genf
Chêne-Bourg	Kanton Genf
Chénens	Kanton Freiburg
Chêne-Pâquier	Kanton Waadt
Cheseaux-Noréaz	Kanton Waadt
Cheseaux-sur-Lausanne	Kanton Waadt
Chéserex	Kanton Waadt
Chessel	Kanton Waadt
Chevilly	Kanton Waadt
Chevroux	Kanton Waadt
Chexbres	Kanton Waadt
