KANTON SOLOTHURN	employs_vernacular_name	Räckholler
KANTON SOLOTHURN	employs_vernacular_name	Räckholder
KANTON SOLOTHURN	employs_vernacular_name	Räckholler
KANTON SOLOTHURN	employs_vernacular_name	Räckholder
KANTON SOLOTHURN	employs_vernacular_name	Räckholder
KANTON BERN	employs_vernacular_name	Räckholder
KANTON BERN	employs_vernacular_name	Räckholder
KANTON BERN	employs_vernacular_name	Räckholder
KANTON BERN	employs_vernacular_name	Reckholder
KANTON BERN	employs_vernacular_name	Wachhouder
KANTON BERN	employs_vernacular_name	Wachhouder
KANTON BERN	employs_vernacular_name	Räckhouder
KANTON BERN	employs_vernacular_name	Räckhouder
KANTON BERN	employs_vernacular_name	Räckhouder
KANTON BERN	employs_vernacular_name	Räkolter
KANTON BERN	employs_vernacular_name	Räckholder
KANTON BERN	employs_vernacular_name	Räckolter
KANTON BERN	employs_vernacular_name	Räckolter
KANTON BERN	employs_vernacular_name	Räckholder
KANTON BERN	employs_vernacular_name	Räckholter
KANTON BERN	employs_vernacular_name	Räckhouter
KANTON BERN	employs_vernacular_name	Räckholder
KANTON WALLIS	employs_vernacular_name	Biel
KANTON WALLIS	employs_vernacular_name	Mittelland
KANTON WALLIS	employs_vernacular_name	Oberland
KANTON WALLIS	employs_vernacular_name	Rüschegg
KANTON WALLIS	employs_vernacular_name	Wohlen
KANTON WALLIS	employs_vernacular_name	Emmental
KANTON WALLIS	employs_vernacular_name	Kandertal
KANTON WALLIS	employs_vernacular_name	Berner-Oberland
KANTON WALLIS	employs_vernacular_name	Brig
KANTON WALLIS	employs_vernacular_name	Termen
KANTON WALLIS	employs_vernacular_name	Brig
KANTON LUZERN	employs_vernacular_name	Aarau
KANTON LUZERN	employs_vernacular_name	Fricktal
KANTON LUZERN	employs_vernacular_name	Aarau
KANTON LUZERN	employs_vernacular_name	Freiamt
KANTON LUZERN	employs_vernacular_name	Freiamt
KANTON LUZERN	employs_vernacular_name	Brugg
KANTON LUZERN	employs_vernacular_name	Lenzburg
KANTON LUZERN	employs_vernacular_name	Rheinfelden,
KANTON LUZERN	employs_vernacular_name	Möhlin
KANTON LUZERN	employs_vernacular_name	Muri
KANTON LUZERN	employs_vernacular_name	Zofingen
KANTON LUZERN	employs_vernacular_name	Zofingen
KANTON LUZERN	employs_vernacular_name	Möhlin
